Тип_документа;Документ;Описание_документа;Ду;Дн;Стенка;Масса;Наименование_трубопровода
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;88.9x2.9;88.9;2.9;6.24;Труба-Ø88.9x2.9 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;88.9x3.2;88.9;3.2;6.86;Труба-Ø88.9x3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;88.9x3.6;88.9;3.6;7.68;Труба-Ø88.9x3.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;88.9x4.0;88.9;4;8.51;Труба-Ø88.9x4.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;114.3x1.6;114.3;1.6;4.52;Труба-Ø114.3x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;114.3x2.0;114.3;2;5.62;Труба-Ø114.3x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;114.3x2.6;114.3;2.6;7.27;Труба-Ø114.3x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;114.3x2.9;114.3;2.9;8.09;Труба-Ø114.3x2.9 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;114.3x3.2;114.3;3.2;8.9;Труба-Ø114.3x3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;114.3x3.6;114.3;3.6;9.98;Труба-Ø114.3x3.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;114.3x4.5;114.3;4.5;12.4;Труба-Ø114.3x4.5 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;114.3x5.0;114.3;5;13.7;Труба-Ø114.3x5.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;139.7x1.6;139.7;1.6;5.53;Труба-Ø139.7x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;139.7x2.0;139.7;2;6.89;Труба-Ø139.7x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;139.7x2.6;139.7;2.6;8.92;Труба-Ø139.7x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;139.7x3.2;139.7;3.2;11;Труба-Ø139.7x3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;139.7x4.0;139.7;4;13.6;Труба-Ø139.7x4.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;139.7x4.5;139.7;4.5;16.8;Труба-Ø139.7x4.5 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;139.7x6.3;139.7;6.3;21;Труба-Ø139.7x6.3 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;139.7x7.1;139.7;7.1;23.5;Труба-Ø139.7x7.1 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x1.6;168.3;1.6;6.68;Труба-Ø168.3x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x2.0;168.3;2;8.32;Труба-Ø168.3x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x2.6;168.3;2.6;10.8;Труба-Ø168.3x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x3.2;168.3;3.2;13.2;Труба-Ø168.3x3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x3.6;168.3;3.6;14.8;Труба-Ø168.3x3.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x4.0;168.3;4;16.4;Труба-Ø168.3x4.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x4.5;168.3;4.5;18.5;Труба-Ø168.3x4.5 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x5.0;168.3;5;20.4;Труба-Ø168.3x5.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x5.6;168.3;5.6;22.8;Труба-Ø168.3x5.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;168.3x7.1;168.3;7.1;28.6;Труба-Ø168.3x7.1 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;219.1x2.0;219.1;2;10.9;Труба-Ø219.1x2.0  DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;219.1x2.6;219.1;2.6;14.1;Труба-Ø219.1x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;219.1x2.9;219.1;2.9;15.7;Труба-Ø219.1x2.9 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;219.1x3.2;219.1;3.2;17.3;Труба-Ø219.1x3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;219.1x3.6;219.1;3.6;19.4;Труба-Ø219.1x3.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;219.1x4.0;219.1;4;21.5;Труба-Ø219.1x4.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;219.1x6.3;219.1;6.3;33.6;Труба-Ø219.1x6.3 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;219.1x8.0;219.1;8;42.2;Труба-Ø219.1x8.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;6x1.0;6;1;0.125;Труба-Ø6x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;8x1.0;8;1;0.176;Труба-Ø8x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;10x1.0;10;1;0.225;Труба-Ø10x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;10x1.2;10;1.2;0.264;Труба-Ø10x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;12x1.0;12;1;0.275;Труба-Ø12x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;16x1.0;16;1;0.376;Труба-Ø16x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;16x1.2;16;1.2;0.445;Труба-Ø16x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;19x1.0;19;1;0.451;Труба-Ø19x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;19x1.2;19;1.2;0.535;Труба-Ø19x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;19x1.6;19;1.6;0.697;Труба-Ø19x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;19x2.0;19;2;0.851;Труба-Ø19x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;20x1.0;20;1;0.476;Труба-Ø20x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;20x1.2;20;1.2;0.564;Труба-Ø20x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;20x1.6;20;1.6;0.737;Труба-Ø20x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;20x2.0;20;2;0.901;Труба-Ø20x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25x1.0;25;1;0.601;Труба-Ø25x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25x1.2;25;1.2;0.715;Труба-Ø25x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25x1.6;25;1.6;0.937;Труба-Ø25x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25x2.0;25;2;1.15;Труба-Ø25x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25x2.6;25;2.6;1.46;Труба-Ø25x2.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;31.8x1.2;31.8;1.2;0.92;Труба-Ø31.8x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;31.8x1.6;31.8;1.6;1.21;Труба-Ø31.8x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;31.8x2.0;31.8;2;1.49;Труба-Ø31.8x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;31.8x2.6;31.8;2.6;1.9;Труба-Ø31.8x2.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;32x1.2;32;1.2;0.925;Труба-Ø32x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;32x1.6;32;1.6;1.5;Труба-Ø32x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;38x1.2;38;1.2;1.11;Труба-Ø38x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;38x1.6;38;1.6;1.46;Труба-Ø38x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;38x2.0;38;2;1.81;Труба-Ø38x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;38x2.6;38;2.6;2.3;Труба-Ø38x2.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;38x3.2;38;3.2;2.79;Труба-Ø38x3.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;40x1.2;40;1.2;1.17;Труба-Ø40x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;40x1.6;40;1.6;1.54;Труба-Ø40x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;40x2.6;40;2.6;2.44;Труба-Ø40x2.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;51x1.0;51;1;1.25;Труба-Ø51x1.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;51x1.2;51;1.2;1.49;Труба-Ø51x1.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;51x1.6;51;1.6;1.98;Труба-Ø51x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;51x2.0;51;2;2.46;Труба-Ø51x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;51x2.6;51;2.6;3.15;Труба-Ø51x2.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;51x3.2;51;3.2;3.83;Труба-Ø51x3.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;57x1.6;57;1.6;2.22;Труба-Ø57x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;57x2.0;57;2;2.75;Труба-Ø57x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;57x2.9;57;2.9;3.93;Труба-Ø57x2.9 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;63.5x1.6;63.5;1.6;2.48;Труба-Ø63.5x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;63.5x2.0;63.5;2;3.08;Труба-Ø63.5x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;63.5x2.6;63.5;2.6;3.96;Труба-Ø63.5x2.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;63.5x3.2;63.5;3.2;4.83;Труба-Ø63.5x3.2 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;70x1.6;70;1.6;2.74;Труба-Ø70x1.6 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;70x2.0;70;2;3.4;Труба-Ø70x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;70x2.9;70;2.9;4.87;Труба-Ø70x2.9 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;101.6x2.0;101.6;2;4.98;Труба-Ø101.6x2.0 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;101.6x2.9;101.6;2.9;7.17;Труба-Ø101.6x2.9 DIN 17455
DIN;DIN 17455 (Серия 2);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;101.6x4.0;101.6;4;9.77;Труба-Ø101.6x4.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;14x1.0;14;1;0.326;Труба-Ø14x1.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;18x1.0;18;1;0.425;Труба-Ø18x1.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;18x1.6;18;1.6;0.657;Труба-Ø18x1.6 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;18x2.0;18;2;0.801;Труба-Ø18x2.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;22x1.0;22;1;0.526;Труба-Ø22x1.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;22x2.0;22;2;1;Труба-Ø22x2.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25.4x1.2;25.4;1.2;0.727;Труба-Ø25.4x1.2 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25.4x1.6;25.4;1.6;0.953;Труба-Ø25.4x1.6 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25.4x2.0;25.4;2;1.17;Труба-Ø25.4x2.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;25.4x2.6;25.4;2.6;1.48;Труба-Ø25.4x2.6 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;30x1.6;30;1.6;1.14;Труба-Ø30x1.6 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;30x2.0;30;2;1.4;Труба-Ø30x2.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;30x2.6;30;2.6;1.79;Труба-Ø30x2.6 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;35x1.2;35;1.2;1.02;Труба-Ø35x1.2 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;35x2.0;35;2;1.65;Труба-Ø35x2.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;44.5x2.0;44.5;2;2.13;Труба-Ø44.5x2.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;44.5x2.6;44.5;2.6;2.73;Труба-Ø44.5x2.6 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;44.5x2.9;44.5;2.9;3.02;Труба-Ø44.5x2.9 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;54x1.6;54;1.6;2.1;Труба-Ø54x1.6 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;54x2.0;54;2;2.6;Труба-Ø54x2.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;54x2.6;54;2.6;3.35;Труба-Ø54x2.6 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;82.5x2.0;82.5;2;4.03;Труба-Ø82.5x2.0 DIN 17455
DIN;DIN 17455 (Серия 3);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;82.5x3.2;82.5;3.2;6.35;Труба-Ø82.5x3.2 DIN 17455
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;15;21,3;1,65;0,8;Pipe DN 15 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;20;26,7;1,65;1,02;Pipe DN 20 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;25;33,4;1,65;1,29;Pipe DN 25 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;32;42,2;1,65;1,65;Pipe DN 32 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;40;48,3;1,65;1,9;Pipe DN 40 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;50;60,3;1,65;2,39;Pipe DN 50 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;65;73;2,11;3,69;Pipe DN 65 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;80;88,9;2,11;4,52;Pipe DN 80 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;90;101,6;2,11;5,18;Pipe DN 90 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;100;114,3;2,11;5,84;Pipe DN 100 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;125;141,3;2,77;9,46;Pipe DN 125 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;150;168,3;2,77;11,31;Pipe DN 150 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;200;219,1;2,77;14,78;Pipe DN 200 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;250;273,1;3,4;22,61;Pipe DN 250 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;300;323,9;3,96;31,25;Pipe DN 300 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;350;355,6;3,96;34,34;Pipe DN 350 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;400;406,4;4,19;41,56;Pipe DN 400 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;450;457;4,19;46,79;Pipe DN 450 SA-240 ASME B36.19M-2004 Sch 5S
ASME;ASME B36.19M-2004 Sch 5S;Stainless Steel Pipe;500;508;4,78;59,32;Pipe DN 500 SA-240 ASME B36.19M-2004 Sch 5S
